epoch,step,test/f1_class_0_epoch,test/f1_class_0_step,test/f1_class_1_epoch,test/f1_class_1_step,test/f1_class_2_epoch,test/f1_class_2_step,test/f1_class_3_epoch,test/f1_class_3_step,test/f1_class_4_epoch,test/f1_class_4_step,test/f1_class_5_epoch,test/f1_class_5_step,test/iou_class_0_epoch,test/iou_class_0_step,test/iou_class_1_epoch,test/iou_class_1_step,test/iou_class_2_epoch,test/iou_class_2_step,test/iou_class_3_epoch,test/iou_class_3_step,test/iou_class_4_epoch,test/iou_class_4_step,test/iou_class_5_epoch,test/iou_class_5_step,test/loss_epoch,test/loss_step,train/f1_class_0,train/f1_class_1,train/f1_class_2,train/f1_class_3,train/f1_class_4,train/f1_class_5,train/iou_class_0,train/iou_class_1,train/iou_class_2,train/iou_class_3,train/iou_class_4,train/iou_class_5,train/loss,val/f1_class_0_epoch,val/f1_class_0_step,val/f1_class_1_epoch,val/f1_class_1_step,val/f1_class_2_epoch,val/f1_class_2_step,val/f1_class_3_epoch,val/f1_class_3_step,val/f1_class_4_epoch,val/f1_class_4_step,val/f1_class_5_epoch,val/f1_class_5_step,val/iou_class_0_epoch,val/iou_class_0_step,val/iou_class_1_epoch,val/iou_class_1_step,val/iou_class_2_epoch,val/iou_class_2_step,val/iou_class_3_epoch,val/iou_class_3_step,val/iou_class_4_epoch,val/iou_class_4_step,val/iou_class_5_epoch,val/iou_class_5_step,val/loss_epoch,val/loss_step
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.333601176738739,0.013151039369404316,0.06686247140169144,0.005922936834394932,0.12471779435873032,0.030507944524288177,0.5003012418746948,0.025960668921470642,0.12534412741661072,0.011776124127209187,0.22177615761756897,0.05920952931046486,1.7933120727539062,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34779322147369385,0.006795799825340509,0.09241275489330292,0.0009175819577649236,0.14545989036560059,0.04181589558720589,0.516092836856842,0.013499857857823372,0.1691901683807373,0.0018334815977141261,0.25397640466690063,0.0802750214934349,1.7808629274368286,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3997868597507477,0.01431554090231657,0.06264291703701019,0.0009899747092276812,0.2263183742761612,0.05447125434875488,0.571211040019989,0.028226997703313828,0.11790022253990173,0.0019779913127422333,0.3691021502017975,0.1033148244023323,1.6788462400436401,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5015985369682312,,0.012483141385018826,,0.06043758615851402,,0.002354587195441127,,0.17257490754127502,,0.05242357775568962,,0.6680861115455627,,0.02465846762061119,,0.11398612707853317,,0.004698112141340971,,0.29435205459594727,,0.09962448477745056,,1.5848602056503296
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4148068428039551,,0.0027725764084607363,,0.04549276828765869,,0.008816218003630638,,0.20047998428344727,,0.047472644597291946,,0.5863794684410095,,0.005529820919036865,,0.08702646195888519,,0.017478343099355698,,0.3339996933937073,,0.09064226597547531,,1.6581329107284546
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46017563343048096,,0.018019232898950577,,0.055273182690143585,,0.0005665365606546402,,0.18585531413555145,,0.05227414891123772,,0.6303017735481262,,0.03540057688951492,,0.10475615411996841,,0.0011324315564706922,,0.3134536147117615,,0.09935461729764938,,1.6536366939544678
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3918277621269226,,0.009471563622355461,,0.05228711664676666,,0.001417952124029398,,0.22395579516887665,,0.049720026552677155,,0.5630406141281128,,0.018765389919281006,,0.09937804192304611,,0.0028318888507783413,,0.36595404148101807,,0.09473007172346115,,1.6693464517593384
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4055156409740448,,0.003111487254500389,,0.08126658946275711,,5.56475279154256e-05,,0.21723972260951996,,0.04055061191320419,,0.5770347118377686,,0.006203671917319298,,0.15031740069389343,,0.00011128886399092153,,0.35693827271461487,,0.0779406800866127,,1.6394357681274414
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3846997022628784,,0.008335438556969166,,0.01856260932981968,,0.0,,0.18208400905132294,,0.054610129445791245,,0.5556434988975525,,0.01653306558728218,,0.0364486388862133,,0.0,,0.30807286500930786,,0.10356458276510239,,1.734269618988037
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441270112991333,,0.018273476511240005,,0.07025864720344543,,0.0003174603043589741,,0.23438206315040588,,0.04205293953418732,,0.6123350858688354,,0.0358910970389843,,0.13129284977912903,,0.0006347191520035267,,0.3797560930252075,,0.0807117149233818,,1.6478341817855835
