epoch,step,test/f1_class_0_epoch,test/f1_class_0_step,test/f1_class_1_epoch,test/f1_class_1_step,test/f1_class_2_epoch,test/f1_class_2_step,test/f1_class_3_epoch,test/f1_class_3_step,test/f1_class_4_epoch,test/f1_class_4_step,test/f1_class_5_epoch,test/f1_class_5_step,test/iou_class_0_epoch,test/iou_class_0_step,test/iou_class_1_epoch,test/iou_class_1_step,test/iou_class_2_epoch,test/iou_class_2_step,test/iou_class_3_epoch,test/iou_class_3_step,test/iou_class_4_epoch,test/iou_class_4_step,test/iou_class_5_epoch,test/iou_class_5_step,test/loss_epoch,test/loss_step,train/f1_class_0,train/f1_class_1,train/f1_class_2,train/f1_class_3,train/f1_class_4,train/f1_class_5,train/iou_class_0,train/iou_class_1,train/iou_class_2,train/iou_class_3,train/iou_class_4,train/iou_class_5,train/loss,val/f1_class_0_epoch,val/f1_class_0_step,val/f1_class_1_epoch,val/f1_class_1_step,val/f1_class_2_epoch,val/f1_class_2_step,val/f1_class_3_epoch,val/f1_class_3_step,val/f1_class_4_epoch,val/f1_class_4_step,val/f1_class_5_epoch,val/f1_class_5_step,val/iou_class_0_epoch,val/iou_class_0_step,val/iou_class_1_epoch,val/iou_class_1_step,val/iou_class_2_epoch,val/iou_class_2_step,val/iou_class_3_epoch,val/iou_class_3_step,val/iou_class_4_epoch,val/iou_class_4_step,val/iou_class_5_epoch,val/iou_class_5_step,val/loss_epoch,val/loss_step
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44507116079330444,0.020974796265363693,0.04440497234463692,0.007573367096483707,0.3269546329975128,0.10784100741147995,0.615985095500946,0.04108778387308121,0.08503401279449463,0.015032884664833546,0.49278947710990906,0.19468680024147034,1.6378933191299438,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.40936198830604553,0.016771646216511726,0.07223808765411377,0.003628416219726205,0.3724985420703888,0.10702363401651382,0.5809181332588196,0.0329899936914444,0.1347426176071167,0.007230596616864204,0.5428035259246826,0.1933538317680359,1.6528581380844116,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5875517725944519,0.07259473204612732,0.11059236526489258,0.0046382504515349865,0.5758836269378662,0.17055518925189972,0.74019855260849,0.13536283373832703,0.19915924966335297,0.009233672171831131,0.73087078332901,0.29140904545783997,1.251893401145935,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6016033887863159,,0.07649286091327667,,0.1090785562992096,,0.010023025795817375,,0.4427734911441803,,0.2531428635120392,,0.7512513995170593,,0.14211493730545044,,0.19670122861862183,,0.019847122952342033,,0.6137810349464417,,0.4040127992630005,,1.455953598022461
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5034865736961365,,0.010761323384940624,,0.02381003275513649,,0.005502986256033182,,0.540028989315033,,0.18863697350025177,,0.669758677482605,,0.021293500438332558,,0.04651260003447533,,0.010945738293230534,,0.7013231515884399,,0.3174004852771759,,1.5643123388290405
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5827590227127075,,0.04235802963376045,,0.04282865673303604,,0.006137372460216284,,0.5647506713867188,,0.2199196070432663,,0.7363837361335754,,0.08127347379922867,,0.08213939517736435,,0.012199870310723782,,0.7218410968780518,,0.3605476915836334,,1.280667781829834
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5269973278045654,,0.0706135481595993,,0.07262613624334335,,0.013136976398527622,,0.5517623424530029,,0.19536107778549194,,0.6902400255203247,,0.13191229104995728,,0.13541743159294128,,0.025933267548680305,,0.7111428380012512,,0.32686537504196167,,1.6124022006988525
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5830251574516296,,0.0005608874489553273,,0.01820799522101879,,0.0,,0.6460233330726624,,0.2556818723678589,,0.7365961670875549,,0.0011211460223421454,,0.03576478362083435,,0.0,,0.7849503755569458,,0.4072398841381073,,1.2560666799545288
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.508764922618866,,0.08820280432701111,,0.055913522839546204,,0.0,,0.625230073928833,,0.18705642223358154,,0.6744124293327332,,0.16210728883743286,,0.10590549558401108,,0.0,,0.7694050073623657,,0.3151601254940033,,1.3804492950439453
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5832943916320801,,0.07551120221614838,,0.05957171320915222,,0.0032160424161702394,,0.6325935125350952,,0.2063007950782776,,0.7368110418319702,,0.14041917026042938,,0.11244489252567291,,0.006411465350538492,,0.7749553322792053,,0.34203872084617615,,1.1729168891906738
