epoch,step,test/f1_class_0_epoch,test/f1_class_0_step,test/f1_class_1_epoch,test/f1_class_1_step,test/f1_class_2_epoch,test/f1_class_2_step,test/f1_class_3_epoch,test/f1_class_3_step,test/f1_class_4_epoch,test/f1_class_4_step,test/f1_class_5_epoch,test/f1_class_5_step,test/iou_class_0_epoch,test/iou_class_0_step,test/iou_class_1_epoch,test/iou_class_1_step,test/iou_class_2_epoch,test/iou_class_2_step,test/iou_class_3_epoch,test/iou_class_3_step,test/iou_class_4_epoch,test/iou_class_4_step,test/iou_class_5_epoch,test/iou_class_5_step,test/loss_epoch,test/loss_step,train/f1_class_0,train/f1_class_1,train/f1_class_2,train/f1_class_3,train/f1_class_4,train/f1_class_5,train/iou_class_0,train/iou_class_1,train/iou_class_2,train/iou_class_3,train/iou_class_4,train/iou_class_5,train/loss,val/f1_class_0_epoch,val/f1_class_0_step,val/f1_class_1_epoch,val/f1_class_1_step,val/f1_class_2_epoch,val/f1_class_2_step,val/f1_class_3_epoch,val/f1_class_3_step,val/f1_class_4_epoch,val/f1_class_4_step,val/f1_class_5_epoch,val/f1_class_5_step,val/iou_class_0_epoch,val/iou_class_0_step,val/iou_class_1_epoch,val/iou_class_1_step,val/iou_class_2_epoch,val/iou_class_2_step,val/iou_class_3_epoch,val/iou_class_3_step,val/iou_class_4_epoch,val/iou_class_4_step,val/iou_class_5_epoch,val/iou_class_5_step,val/loss_epoch,val/loss_step
0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6690585017204285,0.016458719968795776,0.0212795902043581,0.0013373453402891755,0.6669901013374329,0.18705832958221436,0.8017196655273438,0.03238443285226822,0.04167240858078003,0.0026711185928434134,0.8002328276634216,0.3151628375053406,0.9155828356742859,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4723096787929535,0.001334614586085081,0.421804279088974,0.0,0.44638144969940186,0.20963925123214722,0.6415901184082031,0.002665671519935131,0.5933366417884827,0.0,0.6172388792037964,0.3466144800186157,1.1160842180252075,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6535360217094421,0.1791696697473526,0.2515513598918915,0.013245033100247383,0.60722416639328,0.24623866379261017,0.7904708981513977,0.30389124155044556,0.40198326110839844,0.026143791154026985,0.7556185126304626,0.3951709568500519,0.7567558884620667,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5947310924530029,,0.22854290902614594,,0.23719549179077148,,0.0,,0.4657299816608429,,0.362938791513443,,0.745870053768158,,0.3720552325248718,,0.38344061374664307,,0.0,,0.635492205619812,,0.5325826406478882,,0.9449422955513
,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5395581722259521,,0.011309703812003136,,0.07237677276134491,,0.0,,0.5478839874267578,,0.32464227080345154,,0.7009259462356567,,0.02236645109951496,,0.1349838525056839,,0.0,,0.7079134583473206,,0.4901583790779114,,0.9478820562362671
,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6063664555549622,,0.07333273440599442,,0.18269312381744385,,0.0,,0.5552626848220825,,0.28586187958717346,,0.7549540996551514,,0.13664492964744568,,0.3089442551136017,,0.0,,0.7140436172485352,,0.4446229934692383,,0.8767939805984497
,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5394300222396851,,0.06860771030187607,,0.4244978427886963,,0.0,,0.5986437797546387,,0.2964285612106323,,0.7008178234100342,,0.12840579450130463,,0.5959964990615845,,0.0,,0.748939573764801,,0.4573002755641937,,0.990782618522644
,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6416236758232117,,0.0859881192445755,,0.21548497676849365,,0.0,,0.6493327021598816,,0.29357099533081055,,0.7816939949989319,,0.15835922956466675,,0.3545662462711334,,0.0,,0.7873883843421936,,0.4538923501968384,,0.8066024780273438
,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5450212955474854,,0.12999199330806732,,0.35844600200653076,,0.0,,0.6097821593284607,,0.3299233913421631,,0.7055194973945618,,0.23007595539093018,,0.5277295112609863,,0.0,,0.7575958371162415,,0.49615398049354553,,0.9329695701599121
,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6086351871490479,,0.06687694787979126,,0.3279171288013458,,0.0,,0.6454284191131592,,0.2793200612068176,,0.7567100524902344,,0.12536956369876862,,0.4938819110393524,,0.0,,0.7845110893249512,,0.43666955828666687,,0.7986749410629272
,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6796855330467224,,0.12585009634494781,,0.2954677939414978,,0.001965104602277279,,0.6723026633262634,,0.35551339387893677,,0.80930095911026,,0.22356456518173218,,0.4561561346054077,,0.003922501113265753,,0.804044246673584,,0.5245442986488342,,0.7092415690422058
,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.632112979888916,,0.2548910677433014,,0.3556983172893524,,0.0,,0.6249491572380066,,0.15810172259807587,,0.7745946645736694,,0.4062361419200897,,0.524745523929596,,0.0,,0.7691922187805176,,0.27303600311279297,,0.8770082592964172
,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5363446474075317,,0.147123783826828,,0.16416777670383453,,0.0009407337638549507,,0.5564627051353455,,0.20796823501586914,,0.698208749294281,,0.256509006023407,,0.28203457593917847,,0.001879699295386672,,0.715035080909729,,0.34432733058929443,,0.868502676486969
0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5951053500175476,,0.11788074672222137,,0.2682745158672333,,0.00025860927416943014,,0.594353973865509,,0.2934330999851227,,0.7450555562973022,,0.20347261428833008,,0.41235676407814026,,0.0005163112073205411,,0.7437621355056763,,0.4502960741519928,,0.8753401041030884,
1,39,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6080132722854614,0.09312321245670319,0.3658183813095093,0.0,0.6183735728263855,0.2851742208003998,0.7562291622161865,0.17038008570671082,0.5356764793395996,0.0,0.7641913890838623,0.4437907636165619,0.7305021286010742,,,,,,,,,,,,,,,,,,,,,,,,,,
1,49,,,,,,,,,,,,,,,,,,,,,,,,,,,0.716620683670044,0.09819816052913666,0.11360304057598114,0.008932447992265224,0.6147120594978333,0.34202855825424194,0.8349202871322632,0.17883504927158356,0.20402789115905762,0.01770673133432865,0.7613890767097473,0.5097187757492065,0.7143613696098328,,,,,,,,,,,,,,,,,,,,,,,,,,
1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6920900940895081,0.061724353581666946,0.36007729172706604,0.09429523348808289,0.7288020253181458,0.36255696415901184,0.8180298209190369,0.11627189815044403,0.529495358467102,0.17233966290950775,0.8431295156478882,0.5321714282035828,0.6019600629806519,,,,,,,,,,,,,,,,,,,,,,,,,,
1,69,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6741319298744202,0.2596416473388672,0.5669640302658081,0.0439453125,0.6029316782951355,0.40460023283958435,0.8053510189056396,0.41224682331085205,0.7236465215682983,0.08419083058834076,0.7522861957550049,0.5761073231697083,0.6623639464378357,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6524972915649414,,0.3421160578727722,,0.29633790254592896,,0.06722689419984818,,0.4985335171222687,,0.42137303948402405,,0.7897105813026428,,0.5098159313201904,,0.4571923613548279,,0.12598425149917603,,0.6653618216514587,,0.5929098725318909,,0.7438384890556335
,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6950410008430481,,0.006265491712838411,,0.23810383677482605,,0.000851154385600239,,0.5835539698600769,,0.43035218119621277,,0.8200875520706177,,0.012452959083020687,,0.3846266269683838,,0.0017008610302582383,,0.7370181083679199,,0.6017429828643799,,0.6928520798683167
,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6443268060684204,,0.2532191574573517,,0.3454827666282654,,0.04973412677645683,,0.5289119482040405,,0.27873653173446655,,0.7836967706680298,,0.404109925031662,,0.5135446786880493,,0.09475566446781158,,0.6918802261352539,,0.4359561502933502,,0.7761649489402771
,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5423734784126282,,0.3146756589412689,,0.44690099358558655,,0.03257826343178749,,0.49979308247566223,,0.3499625325202942,,0.7032971978187561,,0.4787122309207916,,0.6177354454994202,,0.06310081481933594,,0.66648268699646,,0.5184773802757263,,0.9163315296173096
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6060512065887451,,0.026444263756275177,,0.21252568066120148,,0.0,,0.5403397679328918,,0.34628546237945557,,0.7547096610069275,,0.051525961607694626,,0.35055041313171387,,0.0,,0.7015851736068726,,0.5144309401512146,,0.8447080850601196
,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5467166900634766,,0.2692590057849884,,0.4657861888408661,,0.0,,0.537022590637207,,0.36187148094177246,,0.7069383859634399,,0.42427748441696167,,0.6355445384979248,,0.0,,0.6987829804420471,,0.5314326286315918,,0.875593364238739
,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6288756728172302,,0.2534097135066986,,0.4129278361797333,,0.006109979469329119,,0.5688198208808899,,0.3593309223651886,,0.772159218788147,,0.4043525457382202,,0.5844995379447937,,0.012145749293267727,,0.7251563668251038,,0.5286879539489746,,0.7422317862510681
,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.644080400466919,,0.23320747911930084,,0.4081564247608185,,0.07865431904792786,,0.5361034870147705,,0.3726271092891693,,0.7835144996643066,,0.37821289896965027,,0.5797032713890076,,0.14583785831928253,,0.6980043649673462,,0.5429400205612183,,0.7964937686920166
,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6964910626411438,,0.2857819199562073,,0.49827325344085693,,0.31380900740623474,,0.6461227536201477,,0.21310189366340637,,0.8210960626602173,,0.4445262551307678,,0.6651300191879272,,0.47770872712135315,,0.7850237488746643,,0.351333886384964,,0.6294925808906555
,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6980199813842773,,0.21916651725769043,,0.24398855865001678,,0.195763498544693,,0.6357215046882629,,0.311790406703949,,0.8221575617790222,,0.35953500866889954,,0.39226818084716797,,0.3274284601211548,,0.7772979736328125,,0.4753662049770355,,0.6707112193107605
1,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6323700547218323,,0.2204129546880722,,0.36239880323410034,,0.0685076043009758,,0.5536449551582336,,0.3461539149284363,,0.7734537720680237,,0.34612345695495605,,0.5242669582366943,,0.11490415781736374,,0.7115787267684937,,0.510998010635376,,0.7688418030738831,
2,79,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6725184321403503,0.173030287027359,0.3840334713459015,0.03204549476504326,0.5968974232673645,0.4017910361289978,0.8041985034942627,0.2950141727924347,0.5549482703208923,0.062100935727357864,0.7475714087486267,0.5732538104057312,0.7080701589584351,,,,,,,,,,,,,,,,,,,,,,,,,,
2,89,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7018179297447205,0.20506490767002106,0.4219124913215637,0.005478297360241413,0.6744603514671326,0.5069600343704224,0.8247861862182617,0.3403383493423462,0.5934436917304993,0.010896898806095123,0.8055853247642517,0.6728248000144958,0.5748413801193237,,,,,,,,,,,,,,,,,,,,,,,,,,
2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6567558646202087,0.4250698387622833,0.3192387521266937,0.0,0.6047269105911255,0.3062721788883209,0.7928215265274048,0.596560001373291,0.4839741885662079,0.0,0.753682017326355,0.4689255356788635,0.6292828321456909,,,,,,,,,,,,,,,,,,,,,,,,,,
2,109,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5591323971748352,0.28039729595184326,0.3662208020687103,0.000425713078584522,0.5693077445030212,0.34774720668792725,0.7172353267669678,0.437984824180603,0.5361077785491943,0.0008510638144798577,0.7255527377128601,0.516042172908783,0.751396119594574,,,,,,,,,,,,,,,,,,,,,,,,,,
,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6300027370452881,,0.35126161575317383,,0.32930129766464233,,0.31808730959892273,,0.5168027281761169,,0.39322811365127563,,0.7730081677436829,,0.519901692867279,,0.4954501986503601,,0.4826498329639435,,0.6814369559288025,,0.5644848942756653,,0.7420805096626282
,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.710235595703125,,0.0500534288585186,,0.3629017770290375,,0.0031401170417666435,,0.6044580340385437,,0.45098888874053955,,0.8305704593658447,,0.09533501416444778,,0.5325428247451782,,0.006260575260967016,,0.753473162651062,,0.6216297149658203,,0.6513535976409912
,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.646447479724884,,0.2735435664653778,,0.42293933033943176,,0.12758469581604004,,0.5489311814308167,,0.3103047013282776,,0.7852634191513062,,0.42957863211631775,,0.5944586992263794,,0.2262973040342331,,0.7087870836257935,,0.4736374616622925,,0.7618736028671265
,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5638571977615356,,0.30920711159706116,,0.4327280819416046,,0.14142611622810364,,0.5502152442932129,,0.3389200270175934,,0.7211108207702637,,0.472357839345932,,0.6040617227554321,,0.24780598282814026,,0.7098565697669983,,0.5062588453292847,,0.8311551213264465
,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6302894353866577,,0.046997953206300735,,0.3618590831756592,,0.0,,0.5915551781654358,,0.3393857479095459,,0.7732239365577698,,0.08977659046649933,,0.5314192771911621,,0.0,,0.7433674931526184,,0.5067781805992126,,0.7663588523864746
,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5323119759559631,,0.28498080372810364,,0.4661616086959839,,0.0,,0.5358052849769592,,0.3409566283226013,,0.6947827935218811,,0.4435564875602722,,0.6358938813209534,,0.0,,0.6977515816688538,,0.5085274577140808,,0.8411594033241272
,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.641251802444458,,0.2791416347026825,,0.42758071422576904,,0.011393306776881218,,0.6219830513000488,,0.36620229482650757,,0.7814179062843323,,0.4364514946937561,,0.5990284085273743,,0.022529922425746918,,0.766941487789154,,0.5360879898071289,,0.6910199522972107
,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.649289608001709,,0.2535334527492523,,0.18997789919376373,,0.19779522716999054,,0.5844231247901917,,0.36305132508277893,,0.7873566746711731,,0.4045100510120392,,0.31929653882980347,,0.33026552200317383,,0.7377109527587891,,0.5327038168907166,,0.7752148509025574
,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6926860213279724,,0.30429762601852417,,0.5425926446914673,,0.2755579948425293,,0.6683847904205322,,0.22841094434261322,,0.8184459805488586,,0.4666076600551605,,0.7034814357757568,,0.43205875158309937,,0.8012357354164124,,0.37188035249710083,,0.6134268045425415
,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7069652676582336,,0.21376267075538635,,0.337409108877182,,0.2573072016239166,,0.6234840154647827,,0.26391422748565674,,0.8283299803733826,,0.3522314131259918,,0.504571259021759,,0.4092988669872284,,0.7680814862251282,,0.4176141321659088,,0.6947667002677917
2,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6370567679405212,,0.23780494928359985,,0.3898010551929474,,0.127127006649971,,0.5826922059059143,,0.3432554006576538,,0.7769421935081482,,0.3719552457332611,,0.5543539524078369,,0.20619623363018036,,0.7353289723396301,,0.508206844329834,,0.7368409037590027,
3,119,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7135192155838013,0.32112544775009155,0.4945467710494995,0.5009416341781616,0.7172940969467163,0.4483896493911743,0.8328114748001099,0.4861392378807068,0.6618016958236694,0.6675031185150146,0.8353770971298218,0.6191561222076416,0.5557741522789001,,,,,,,,,,,,,,,,,,,,,,,,,,
3,129,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6808435916900635,0.3805389702320099,0.5399777889251709,0.48701223731040955,0.6470967531204224,0.37611714005470276,0.8101212978363037,0.5512904524803162,0.7012799978256226,0.6550211906433105,0.7857422828674316,0.5466353297233582,0.5679736733436584,,,,,,,,,,,,,,,,,,,,,,,,,,
3,139,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6962073445320129,0.2574920356273651,0.4017465114593506,0.23076923191547394,0.670655369758606,0.4612238109111786,0.8208988904953003,0.40953266620635986,0.5732085108757019,0.375,0.8028649687767029,0.6312842965126038,0.6231288313865662,,,,,,,,,,,,,,,,,,,,,,,,,,
